team1Player1,team1Player2,team1Player3,team1Player4,team1Player5,team1Player6,team1Player7,team1Player8,team1Player9,team1Player10,team1Player11,team1Player12,team1Player13,team1Player14,team1Player15,team1Player16,team1Player17,team1Player18,team1Golie1,team2Player1,team2Player2,team2Player3,team2Player4,team2Player5,team2Player6,team2Player7,team2Player8,team2Player9,team2Player10,team2Player11,team2Player12,team2Player13,team2Player14,team2Player15,team2Player16,team2Player17,team2Player18,team2Golie1,score
D. Alfredsson,M. Cullen,M. Fisher,N. Foligno,C. Kelly,A. Kovalev,C. Neil,P. Regin,J. Ruutu,Z. Smith,J. Spezza,J. Winchester,C. Campoli,M. Carkner,E. Karlsson,C. Phillips,A. Sutton,A. Volchenkov,B. Elliott,M. Darche,B. Gionta,S. Gomez,A. Kostitsyn,S. Kostitsyn,M. Lapierre,G. Metropolit,T. Moen,D. Moore,T. Plekanec,B. Pouliot,T. Pyatt,H. Gill,J. Gorges,R. Hamrlik,A. Markov,R. O'Byrne,J. Spacek,J. Halak,0
M. Cammalleri,M. Darche,B. Gionta,S. Gomez,A. Kostitsyn,S. Kostitsyn,G. Metropolit,D. Moore,T. Plekanec,B. Pouliot,T. Pyatt,M. Bergeron,H. Gill,J. Gorges,R. Hamrlik,A. Markov,R. O'Byrne,J. Spacek,C. Price,T. Connolly,M. Ellis,P. Gaustad,M. Grier,J. Hecht,P. Kaleta,T. Kennedy,A. Mair,J. Pominville,D. Roy,D. Stafford,T. Vanek,T. Lydman,S. Montador,T. Myers,C. Rivet,A. Sekera,H. Tallinder,R. Miller,1
D. Brown,A. Frolov,J. Halpern,M. Handzus,A. Kopitar,F. Modin,B. Richardson,W. Simmonds,R. Smyth,J. Stoll,J. Williams,D. Doughty,D. Drewiske,P. Harrold,J. Johnson,R. Jones,S. O'Donnell,R. Scuderi,J. Quick,M. Duchene,C. Durno,T.J. Galiardi,M. Hejduk,M. Hendricks,C. McLeod,P. Mueller,R. O'Reilly,K. Porter,P. Stastny,C. Stewart,M. Svatos,B. Clark,K. Cumiskey,A. Foote,S. Hannan,K. Quincey,R. Salei,C. Anderson,1
D. Alfredsson,M. Cullen,M. Fisher,N. Foligno,C. Kelly,C. Neil,P. Regin,J. Ruutu,R. Shannon,Z. Smith,J. Spezza,J. Winchester,C. Campoli,M. Carkner,E. Karlsson,C. Phillips,A. Sutton,A. Volchenkov,B. Elliott,T. Connolly,M. Ellis,P. Gaustad,M. Grier,J. Hecht,P. Kaleta,T. Kennedy,A. Mair,J. Pominville,D. Roy,D. Stafford,T. Vanek,C. Butler,T. Lydman,S. Montador,T. Myers,C. Rivet,H. Tallinder,R. Miller,0
T. Bertuzzi,P. Datsyuk,K. Draper,P. Eaves,V. Filppula,J. Franzen,D. Helm,T. Holmstrom,D. Miller,J. Williams,H. Zetterberg,J. Ericsson,N. Kronwall,N. Lidstrom,A. Lilja,D. Meech,B. Rafalski,B. Stuart,J. Howard,D. Boyd,J.P. Dumont,M. Erat,M. Goc,P. Hornqvist,D. Legwand,C. O'Reilly,J. Smithson,N. Spaling,S. Sullivan,J. Tootoo,C. Wilson,F. Bouillon,C. Franson,D. Hamhuis,K. Klein,R. Suter,S. Weber,P. Rinne,0
M. Ellis,T. Ennis,P. Gaustad,N. Gerbe,M. Grier,J. Hecht,T. Kennedy,A. Mair,M. Mancari,J. Pominville,D. Roy,D. Stafford,T. Lydman,S. Montador,T. Myers,C. Rivet,A. Sekera,H. Tallinder,R. Miller,S. Begin,P. Bergeron,D. Krejci,M. Lucic,D. Paille,M. Recchi,M. Ryder,M. Satan,V. Sobotka,M. Sturm,S. Thornton,B. Wheeler,J. Boychuk,Z. Chara,M. Hunwick,D. Seidenberg,M. Stuart,D. Wideman,T. Rask,0
D. Brown,A. Frolov,J. Halpern,M. Handzus,A. Kopitar,F. Modin,S. Parse,B. Richardson,W. Simmonds,R. Smyth,J. Stoll,J. Williams,D. Doughty,M. Greene,J. Johnson,R. Jones,S. O'Donnell,R. Scuderi,J. Bernier,D. Boyd,J.P. Dumont,M. Erat,M. Goc,P. Hornqvist,D. Legwand,J. Smithson,N. Spaling,S. Sullivan,J. Tootoo,J. Ward,C. Wilson,F. Bouillon,C. Franson,D. Hamhuis,K. Klein,R. Suter,S. Weber,P. Rinne,0
B. Bochenski,S. Downie,T. Fedoruk,Z. Konopka,V. Lecavalier,M. Parrish,M. St. Louis,S. Stamkos,P. Szczechura,A. Tanguay,N. Thompson,S. Veilleux,K. Foster,M. Lashoff,M. Lundin,A. Meszaros,V. Mihalik,M. Ohlund,M. Smith,C. Adams,M. Cooke,S. Crosby,P. Dupuis,R. Fedotenko,B. Guerin,T. Kennedy,C. Kunitz,A. Ponikarovsky,M. Rupp,J. Staal,M. Talbot,M. Eaton,A. Goligoski,J. Leopold,K. Letang,J. McKee,B. Orpik,M. Fleury,0
D. Bowman,Z. Boychuk,R. Brind'Amour,E. Cole,P. Dwyer,J. Jokinen,T. Kostopoulos,C. LaRose,S. Samsonov,E. Staal,B. Sutter,R. Whitney,B. Carson,J. Harrison,J. McBain,J. Pitkanen,B. Pothier,B. Rodney,C. Ward,M. Cammalleri,M. Darche,B. Gionta,S. Gomez,A. Kostitsyn,S. Kostitsyn,M. Lapierre,T. Moen,D. Moore,T. Plekanec,B. Pouliot,M. Bergeron,H. Gill,J. Gorges,R. Hamrlik,A. Markov,R. O'Byrne,J. Spacek,C. Price,0
M. Beleskey,J. Blake,T. Bodie,N. Bonino,M. Brown,K. Chipchura,S. Koivu,T. Marchant,G. Parros,C. Perry,B. Ryan,T. Selanne,S. Brookbank,S. Eminger,B. Mikkelson,S. Niedermayer,L. Visnovsky,A. Ward,C. McElhinney,M. Duchene,C. Durno,T.J. Galiardi,M. Hejduk,C. McLeod,P. Mueller,R. O'Reilly,K. Porter,P. Stastny,C. Stewart,M. Svatos,D. Tucker,K. Cumiskey,A. Foote,S. Hannan,J. Liles,R. Salei,R. Wilson,C. Anderson,0
A. Burrows,P. Demitra,T. Glass,M. Grabner,J. Hansen,D. Hordichuk,R. Johnson,R. Kesler,M. Raymond,R. Rypien,H. Sedin,K. Wellwood,A. Alberts,K. Bieksa,A. Edler,C. Ehrhoff,A. Rome,S. Salo,R. Luongo,D. Brown,A. Frolov,J. Halpern,M. Handzus,A. Kopitar,F. Modin,S. Parse,B. Richardson,W. Simmonds,R. Smyth,J. Stoll,J. Williams,D. Doughty,M. Greene,J. Johnson,R. Jones,S. O'Donnell,R. Scuderi,J. Bernier,1
A. Anisimov,E. Christensen,C. Drury,B. Dubinsky,M. Gaborik,O. Jokinen,C. Locke,P.A. Parenteau,V. Prospal,B. Prust,J. Shelley,A. Voros,M. Del Zotto,A. Eriksson,D. Girardi,W. Redden,M. Rozsival,M. Staal,H. Lundqvist,B. Bochenski,S. Downie,T. Fedoruk,Z. Konopka,V. Lecavalier,M. Parrish,T. Purcell,M. St. Louis,S. Stamkos,P. Szczechura,A. Tanguay,N. Thompson,K. Foster,M. Lashoff,M. Lundin,A. Meszaros,V. Mihalik,M. Ohlund,M. Smith,0
M. Ellis,T. Ennis,P. Gaustad,N. Gerbe,M. Grier,J. Hecht,T. Kennedy,A. Mair,J. Pominville,D. Roy,D. Stafford,R. Torres,C. Butler,T. Lydman,S. Montador,T. Myers,C. Rivet,H. Tallinder,R. Miller,M. Cammalleri,M. Darche,B. Gionta,S. Gomez,A. Kostitsyn,S. Kostitsyn,M. Lapierre,T. Moen,D. Moore,T. Plekanec,B. Pouliot,T. Pyatt,M. Bergeron,H. Gill,J. Gorges,R. Hamrlik,A. Markov,R. O'Byrne,J. Halak,1
